word,label
Look,3
Move,3
Name,3
On,3
Play,3
Quote,3
Read,3
Sing,3
Tell,3
Use,3
View,3
Write,3
Xerox,3
Yawn,3
Zoom,3
Awe,3
Blue,3
Cool,3
Deep,3
Ever,3
Fair,3
Great,3
Hope,3
Kitchen,4
Workplace,4
Commute,4
Grocery,4
Breakfast,4
Exercise,4
Laundry,4
Gardening,4
Socializing,4
Budget,4
Alarm,4
Bedtime,4
Coffee,4
Dinner,4
Email,4
Furniture,4
Garage,4
Hobbies,4
Insurance,4
Journaling,4
Keyboard,4
Lunch,4
Maintenance,4
Neighborhood,4
Outing,4
Parking,4
Queue,4
Recycling,4
Shopping,4
Traffic,4
Utilities,4
Vacation,4
Wardrobe,4
Xmas,4
Yard,4
Zipping,4
Appliance,4
Beverage,4
Cleaning,4
Decor,4
Errand,4
Family,4
Greeting,4
Household,4
Inventory,4
Job,4
Kitchenware,4
Leisure,4
Meeting,4
Nap,4
Office,4
Pet,4
Quality,4
Routine,4
Safety,4
Task,4
Upholstery,4
Vehicle,4
Wallet,4
Xerox,4
Yesterday,4
Zero,4
Activity,4
Basement,4
Calendar,4
Dishes,4
Entertainment,4
Finances,4
Grocery,4
Health,4
Interaction,4
Journey,4
Key,4
Living-room,4
Market,4
Notebook,4
Organization,4
Project,4
Quiet,4
Rest,4
Schedule,4
Transit,4
User,4
Visit,4
Weather,4
X-factor,4
Yield,4
Zone,4
Apartment,4
Bathroom,4
Cell-phone,4
Desk,4
Energy,4
Food,4
Gift,4
Home,4
Internet,4
Jewelry,4
Keycard,4
Laptop,4
Mirror,4
News,4
Order,4
Phone,4
Receipt,4
Stairs,4
Table,4
Uniform,4
Video,4
Water,4
X-axis,4
Yellow,4
Zip-code,4
Address,4
Bag,4
Chair,4
Door,4
Envelope,4
Floor,4
Gate,4
Hat,4
Ink,4
Jar,4
Knife,4
Lamp,4
Mat,4
Net,4
Oven,4
Pen,4
Quilt,4
Rug,4
Sofa,4
Towel,4
Umbrella,4
Vase,4
Wall,4
Xylophone,4
Yardstick,4
Zipper,4
Area,4
Box,4
Cup,4
Dish,4
Egg,4
Fan,4
Glass,4
Hook,4
Iron,4
Jug,4
Kettle,4
Lid,4
Mug,4
Nut,4
Oil,4
Pan,4
Quart,4
Rice,4
Salt,4
Tea,4
Urn,4
Vinegar,4
Wok,4
X-ray,4
Yam,4
Zest,4
Apple,4
Bread,4
Cheese,4
Date,4
Egg,4
Fruit,4
Grape,4
Honey,4
Ice,4
Juice,4
Kiwi,4
Lemon,4
Milk,4
Nuts,4
Onion,4
Pasta,4
Quince,4
Radish,4
Sugar,4
Toast,4
Udon,4
Vanilla,4
Wheat,4
Xerox,4
Yogurt,4
Zucchini,4
Bath,4
Comb,4
Deodorant,4
Eyeglasses,4
Floss,4
Gel,4
Hairbrush,4
Inhaler,4
Jack,4
